# num,v0,st,lt,dev_st,dev_lt,dev,largest_dev,dist,mod
455,3.493300,0.020202,0.029926,0.056541,0.031416,0.056541,st,0.000737,34
251,3.491640,0.019384,0.029933,0.013751,0.022021,0.022021,lt,0.000744,34
580,3.492050,0.019159,0.029945,0.001987,0.024797,0.024797,lt,0.000756,36
207,3.491000,0.017811,0.029946,0.068480,0.018810,0.068480,st,0.000757,36
461,3.492460,0.019182,0.029950,0.003187,0.027336,0.027336,lt,0.000761,36
486,3.491840,0.020387,0.029951,0.066215,0.023772,0.066215,st,0.000762,36
456,3.492460,0.020014,0.029951,0.046694,0.027361,0.046694,st,0.000762,36
52,3.492460,0.017932,0.029964,0.062164,0.027820,0.062164,st,0.000775,36
314,3.487850,0.019101,0.029965,0.001048,0.001796,0.001796,lt,0.000776,36
547,3.490590,0.019355,0.029971,0.012273,0.017339,0.017339,lt,0.000782,36
506,3.492460,0.019223,0.029988,0.005369,0.028628,0.028628,lt,0.000799,36
55,3.492050,0.018685,0.029997,0.022812,0.026588,0.026588,lt,0.000808,36
101,3.492460,0.018514,0.030032,0.031736,0.030132,0.031736,st,0.000843,38
503,3.492260,0.019312,0.030034,0.009991,0.029066,0.029066,lt,0.000845,38
379,3.486600,0.018858,0.030042,0.013749,0.002481,0.013749,st,0.000853,38
565,3.491640,0.019326,0.030050,0.010730,0.026034,0.026034,lt,0.000861,38
556,3.491210,0.019546,0.030054,0.022233,0.023679,0.023679,lt,0.000865,38
489,3.491000,0.019189,0.030063,0.003593,0.022787,0.022787,lt,0.000874,38
572,3.490590,0.019122,0.030064,0.000073,0.020489,0.020489,lt,0.000875,38
193,3.488490,0.017944,0.030094,0.061533,0.009673,0.061533,st,0.000905,38
483,3.490800,0.019285,0.030110,0.008608,0.023243,0.023243,lt,0.000921,38
393,3.493300,0.019402,0.030111,0.014694,0.037788,0.037788,lt,0.000922,38
157,3.483050,0.017761,0.030114,0.071125,0.019124,0.071125,st,0.000925,40
56,3.491210,0.018136,0.030121,0.051491,0.025975,0.051491,st,0.000932,40
480,3.488910,0.019232,0.030145,0.005821,0.013720,0.013720,lt,0.000956,40
487,3.490590,0.019061,0.030147,0.003121,0.023302,0.023302,lt,0.000958,40
537,3.489120,0.019211,0.030165,0.004735,0.015574,0.015574,lt,0.000976,40
578,3.491000,0.019242,0.030168,0.006314,0.026366,0.026366,lt,0.000979,40
184,3.489960,0.017967,0.030201,0.060346,0.021550,0.060346,st,0.001012,40
534,3.489960,0.019322,0.030204,0.010538,0.021643,0.021643,lt,0.001015,40
380,3.494570,0.019221,0.030205,0.005257,0.048577,0.048577,lt,0.001016,40
494,3.489750,0.019269,0.030206,0.007743,0.020516,0.020516,lt,0.001017,40
447,3.488690,0.019405,0.030223,0.014847,0.015112,0.015112,lt,0.001034,42
398,3.489750,0.019183,0.030239,0.003238,0.021624,0.021624,lt,0.001050,42
551,3.489530,0.019591,0.030249,0.024616,0.020712,0.024616,st,0.001060,42
406,3.492460,0.019283,0.030266,0.008459,0.038169,0.038169,lt,0.001077,42
153,3.490160,0.018115,0.030276,0.052593,0.025204,0.052593,st,0.001087,42
555,3.489120,0.019361,0.030281,0.012570,0.019487,0.019487,lt,0.001092,42
378,3.488690,0.019122,0.030288,0.000044,0.017293,0.017293,lt,0.001099,42
512,3.490160,0.019520,0.030291,0.020902,0.025710,0.025710,lt,0.001102,42
